Species,Body_mass_g,Scavenger,Vertebrates,Insects,Worms,Crustaceans,Molluscs,Fish,Seeds,Fruits,Plants,Nectar,Sap,Foraging_technique,Foraging_stratum_terr/aquatic,Foraging_stratum_betw_1_and_2,Foraging_stratum_above_2m,Foraging_stratum_air,Social_Foraging,Diurnal,Crepuscular,Nocturnal,Seasonality,Irruptive,Duration,Mean_frequency,Entropy
Bubo_virginianus,1142,0,1,1,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,0,0,1,PR,0,0.5913641,0.8034779,0.5825203
Bubulcus_ibis,360,0,0,1,0,1,1,0,0,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,PR,0,0.1298264,4.045568,0.8278629
Bucephala_albeola,334,0,0,1,0,1,1,1,1,0,1,0,0,Surface diver,1,0,0,0,Aggregation,1,0,1,WV,0,0.2368528,3.135098,0.7977316
Buteo_albonotatus,886,0,1,0,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,1,0,0,T,0,1.997403,3.5803,0.7578496
Buteo_jamaicensis,1224,0,1,0,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,1,0,0,PR,0,0.6683216,3.572904,0.78308
Buteo_regalis,1776,0,1,0,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,1,0,0,WV,0,1.074865,2.887109,0.7281892
Buteo_swainsoni,1109,0,1,1,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,1,0,0,SR,0,0.2583047,2.456018,0.6349235
Buteogallus_anthracinus,1199,0,1,0,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,1,0,0,T,0,0.2551824,3.521646,0.7438509
Butorides_virescens,212,0,0,1,0,0,0,1,0,0,1,0,0,Stalker and striker,1,0,0,0,Solitary,1,1,1,PR,0,0.1082469,2.436357,0.7299351
Calamospiza_melanocorys,37.6,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.1404693,2.860288,0.7274188
Calidris_mauri,29.1,0,0,1,1,0,1,0,0,0,0,0,0,Prober,1,0,0,0,Aggregation,1,0,0,T,0,1.43725714,3.448536049,0.795688092
Calidris_melanotos,65,0,0,1,1,0,1,0,0,0,0,1,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,T,0,0.1175578,3.4239,0.7185841
Calidris_minutilla,23.8,0,0,1,1,0,0,0,0,0,0,0,0,Ground gleaner,1,0,0,0,Aggregation,1,0,0,WV,0,0.1618282,2.525496,0.7520517
Callipepla_gambelii,162,0,0,1,0,0,0,0,1,0,1,0,0,Ground gleaner,1,0,0,0,Bonded,1,1,0,PR,0,0.108731097,2.327559984,0.782148627
Callipepla_squamata,177,0,0,1,0,0,0,0,1,0,1,0,0,Ground gleaner,1,0,0,0,Bonded,1,1,0,PR,0,0.4298554,2.255626,0.6517773
Campylorhynchus_brunneicapillus,38.9,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,0,1,0,0,Pair,1,0,0,PR,0,3.455662,2.289504,0.7430098
Cardellina_pusilla,6.7,0,0,1,0,0,0,0,0,1,0,0,0,Foliage gleaner,0,0,1,0,Solitary,1,0,0,T,0,0.22746,5.353198,0.7985321
Cardinalis_cardinalis,41.8,0,0,0,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Bonded,1,1,0,PR,0,3.698404,3.631002,0.8117178
Cardinalis_sinuatus,34.6,0,0,0,0,0,0,0,1,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,PR,0,2.18152473,2.569548192,0.714804994
Cathartes_aura,1430,1,0,0,0,0,0,0,0,0,0,0,0,Ground scavenger,1,0,0,0,Solitary,1,0,0,SR,0,0.7790603,3.750517,0.8305473
Catharus_guttatus,30.1,0,0,1,0,0,0,0,0,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,WV,0,0.6224898,3.187053,0.7475873
Catharus_ustulatus,30.3,0,0,1,0,0,0,0,0,1,0,0,0,Ground gleaner,1,0,0,0,Solitary,1,0,0,T,0,0.3737702,3.514259,0.7523268
Catherpes_mexicanus,12.7,0,0,1,0,0,0,0,0,0,0,0,0,Ground gleaner,1,0,0,0,Pair,1,0,0,PR,0,1.7566143,3.780065748,0.801681286
Certhia_americana,8.1,0,0,1,0,0,0,0,1,0,0,0,0,Bark gleaner,0,0,1,0,Solitary,1,0,0,WV,0,0.5372326,6.939763,0.6751655
Charadrius_vociferus,101,0,0,1,1,1,1,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Pair,1,0,1,PR,0,0.3057951,4.075575,0.5863457
Anser_caerulescens,2517,0,0,0,0,0,0,0,1,0,1,0,0,Surface dipper,1,0,0,0,Aggregation,1,0,0,WV,0,0.1918583,1.916353,0.6984184
Anser_rossii,1640,0,0,0,0,0,0,0,1,0,1,0,0,Surface dipper,1,0,0,0,Aggregation,1,0,0,WV,0,0.1636276,1.544836,0.696341
Chondestes_grammacus,29,0,0,1,0,0,0,0,1,0,0,0,0,Ground gleaner,1,0,0,0,Bonded,1,0,0,T,0,2.741308,5.165884,0.7871075
Chordeiles_acutipennis,49.9,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,0,1,1,SR,0,1.351064,1.252995,0.6945864
Chordeiles_minor,79.3,0,0,1,0,0,0,0,0,0,0,0,0,Air screener,0,0,0,1,Aggregation,0,1,1,T,0,0.2491727,4.754102,0.7624835
Circus_hudsonius,515,1,1,0,0,0,0,0,0,0,0,0,0,Ground hawker,1,0,0,0,Solitary,1,0,0,WV,0,0.3938602,4.595985,0.7453466
Cistothorus_palustris,9.4,0,0,1,0,0,0,0,0,0,0,0,0,Foliage gleaner,0,1,0,0,Bonded,1,0,0,WV,0,0.3350353,6.068374,0.8286149
